frame_id,nose_x,nose_y,neck_x,neck_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,label
0,368.666,325.342,373.438,432.532,541.457,427.491,205.419,437.573,592.174,659.721,129.101,641.515,575.789,788.766,141.937,816.321,Asking
1,377.355,297.074,388.244,436.291,560.657,433.42,215.832,439.161,604.927,652.422,139.604,656.729,608.415,719.503,146.927,776.397,Asking
2,377.681,288.171,383.685,426.098,555.383,421.292,211.987,430.904,599.645,653.019,130.979,666.346,605.471,811.515,146.078,835.905,Asking
3,377.031,284.084,387.516,422.079,559.613,412.252,215.42,431.906,603.259,632.018,142.413,671.719,608.987,777.32,158.049,835.523,Asking
4,371.488,277.898,394.497,417.804,565.888,411.381,223.107,424.227,622.207,629.213,152.129,672.618,650.481,723.744,151.794,818.532,Asking
5,379.252,278.503,384.784,415.748,549.075,407.224,220.494,424.271,625.445,598.034,151.543,664.156,645.127,606.385,157.738,811.19,Asking
6,377.416,279.244,387.993,422.429,556.721,415.602,219.265,429.257,608.885,643.592,147.288,663.238,617.756,764.233,157.733,832.156,Asking
7,386.168,276.374,387.333,422.216,555.117,415.625,219.55,428.807,602.146,645.319,147.212,660.531,619.619,798.558,149.849,832.07,Asking
8,381.7,272.704,389.074,417.944,553.791,411.459,224.356,424.43,649.457,582.164,146.44,676.489,650.018,498.664,143.963,818.961,Asking
9,387.048,269.58,385.174,413.038,549.295,407.984,221.052,418.092,606.202,626.909,143.172,654.105,600.011,770.7,144.923,814.023,Asking
10,403.094,256.834,391.499,408.436,553.265,403.609,229.733,413.264,696.902,549.612,154.036,651.302,631.631,401.694,145.161,819.214,Asking
11,405.415,259.738,397.28,405.66,562.131,401.199,232.429,410.121,682.933,576.595,149.271,639.331,664.367,599.051,150.836,802.636,Asking
12,404.439,250.001,401.566,389.855,561.297,384.383,241.835,395.327,633.107,588.656,166.901,628.451,631.268,733.314,167.305,757.513,Asking
13,408.736,259.666,405.916,399.194,555.032,397.125,256.8,401.263,666.679,512.968,147.815,568.54,622.101,406.85,150.054,591.831,Asking
14,405.573,255.437,411.064,401.337,564.985,394.306,257.143,408.368,596.53,613.651,174.292,621.56,518.811,692.224,180.323,499.401,Asking
15,423.654,258.424,408.566,406.233,566.516,407.61,250.616,404.857,730.668,563.203,77.982,641.481,651.486,373.981,131.476,433.62,Asking
