frame_id,nose_x,nose_y,neck_x,neck_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,label
0,339.552,183.372,357.243,253.2,519.093,261.965,195.393,244.434,538.991,467.313,41.635,413.719,387.055,463.638,192.695,438.35,Boring
1,322.047,202.391,357.518,256.815,524.249,274.727,190.786,238.902,524.209,493.049,18.689,409.987,364.969,472.953,171.09,450.677,Boring
2,327.709,214.558,348.654,250.737,524.439,261.362,172.87,240.111,522.687,470.281,-6.378,407.33,400.71,496.439,163.013,452.721,Boring
3,322.902,213.853,349.19,248.616,527.09,255.909,171.29,241.323,579.561,496.903,-14.234,412.251,401.397,484.034,156.33,456.725,Boring
4,321.928,231.912,348.305,250.217,530.544,259.551,166.066,240.882,563.397,521.203,-13.426,421.27,381.992,480.26,153.579,458.129,Boring
5,306.847,231.5,340.464,261.998,515.157,280.821,165.771,243.174,512.719,501.493,-12.264,416.955,380.675,482.757,149.144,461.622,Boring
6,315.761,231.713,344.41,248.33,518.778,254.832,170.042,241.828,528.62,465.947,14.937,409.132,381.523,481.395,158.96,464.651,Boring
7,317.271,232.569,339.772,260.748,515.701,272.63,163.842,248.866,527.422,464.625,-8.663,404.2,404.368,479.574,156.953,456.235,Boring
8,302.96,237.245,330.048,253.264,495.853,260.654,164.243,245.874,558.407,480.94,-13.068,407.179,408.28,466.884,162.836,454.224,Boring
9,295.515,238.418,332.338,256.062,489.489,265.327,175.188,246.798,531.369,454.405,9.842,409.963,397.313,458.527,164.171,453.063,Boring
10,340.462,231.057,335.125,234.868,498.727,221.358,171.523,248.377,591.685,344.487,4.338,395.544,504.693,415.798,148.31,439.748,Boring
11,327.561,244.953,321.434,260.013,482.793,265.083,160.075,254.944,530.932,404.711,6.104,406.466,418.791,458.862,151.324,452.517,Boring
12,334.821,242.96,329.814,253.706,482.151,248.498,177.477,258.914,516.688,407.457,2.025,408.814,422.484,451.224,158.025,449.4,Boring
13,318.651,261.671,336.043,253.945,502.578,256.161,169.508,251.729,520.195,432.268,1.026,391.962,406.442,456.848,158.692,447.115,Boring
14,308.21,264.186,330.877,260.867,503.291,270.034,158.462,251.699,519.689,448.622,-18.597,406.658,398.932,454.035,155.671,450.026,Boring
15,311.27,265.631,337.752,242.275,501.641,240.879,173.862,243.672,526.74,418.257,6.435,397.234,404.186,457.412,155.435,447.7,Boring
16,300.567,266.515,340.267,242.709,507.82,243.599,172.714,241.82,517.174,434.867,8.756,405.017,395.839,450.987,159.61,448.651,Boring
17,303.783,281.471,328.018,259.746,495.269,258.431,160.768,261.062,499.351,407.361,25.425,401.13,357.368,416.843,188.917,441.476,Boring
18,327.717,284.145,317.899,252.857,482.296,243.733,153.502,261.98,530.022,384.649,7.723,406.165,376.072,416.702,201.762,440.891,Boring
19,335.932,293.696,294.003,271.219,454.552,264.897,133.454,277.541,478.772,434.97,25.279,415.098,348.673,432.458,237.771,445.579,Boring
