frame_id,nose_x,nose_y,neck_x,neck_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,label
0,388.456,208.978,375.976,343.845,530.574,344.147,221.377,343.542,597.59,545.01,106.242,494.965,602.391,720.531,110.613,656.454,Bowing
1,374.219,203.428,369.471,338.602,518.467,341.318,220.476,335.885,573.765,540.649,94.411,470.395,555.311,685.556,67.789,585.129,Bowing
2,380.71,200.03,365.533,336.558,512.179,338.45,218.887,334.666,580.058,497.489,95.002,466.518,572.391,682.409,96.144,585.322,Bowing
3,376.391,196.852,362.028,333.06,506.029,330.501,218.028,335.618,585.428,513.033,92.884,481.064,586.291,659.628,70.71,636.561,Bowing
4,368.795,198.637,368.91,329.777,512.176,325.735,225.644,333.82,590.268,474.662,107.421,470.152,595.288,648.825,73.959,627.473,Bowing
5,364.901,193.943,368.506,330.21,512.608,333.302,224.404,327.119,600.653,487.376,99.813,466.513,606.342,681.114,64.364,610.43,Bowing
6,377.763,192.179,367.446,333.909,516.692,333.984,218.2,333.833,621.564,538.206,91.15,485.415,607.599,680.59,76.332,651.623,Bowing
7,377.76,197.335,362.266,331.681,507.931,324.875,216.601,338.488,639.041,497.885,92.9,493.61,619.999,635.047,80.064,649.432,Bowing
8,374.413,202.437,364.543,328.644,509.172,324.854,219.913,332.435,621.335,486.037,93.638,476.792,599.224,637.223,80.563,625.457,Bowing
9,366.288,209.303,366.855,327.52,505.668,326.946,228.042,328.094,595.364,459.577,104.861,469.533,590.974,608.553,92.597,602.798,Bowing
10,375.864,206.259,366.962,326.452,508.412,325.224,225.512,327.68,630.634,468.284,95.748,477.09,594.946,557.348,107.451,579.846,Bowing
11,384.738,211.225,358.102,324.365,497.512,316.526,218.691,332.205,589.881,441.724,95.987,476.906,589.486,583.727,86.863,641.818,Bowing
12,390.378,209.854,360.624,320.142,495.986,314.174,225.262,326.109,586.481,438.919,97.594,472.839,575.716,593.889,86.349,628.407,Bowing
13,390.261,211.272,357.003,324.202,495.529,317.091,218.477,331.313,586.906,457.069,96.64,475.297,606.97,611.004,94.307,608.955,Bowing
14,389.361,213.252,357.484,318.895,494.95,310.489,220.018,327.301,594.702,443.828,94.779,470.786,620.204,599.868,94.814,611.215,Bowing
15,384.037,217.633,357.782,318.628,495.444,312.949,220.12,324.306,603.828,442.434,96.333,474.099,641.059,599.48,93.452,617.539,Bowing
16,380.865,210.793,361.99,307.494,502.309,294.893,221.67,320.095,637.826,424.937,95.683,472.339,638.85,446.079,84.135,604.768,Bowing
17,378.48,203.914,366.402,309.492,508.319,296.053,224.484,322.931,636.052,405.62,94.036,471.73,703.731,460.33,114.209,602.26,Bowing
18,361.918,201.715,357.812,305.798,499.964,284.51,215.659,327.086,714.756,343.516,101.052,493.83,766.985,411.53,90.687,680.739,Bowing
19,361.977,202.893,355.389,306.089,496.273,285.39,214.504,326.789,714.025,345.327,106.895,486.41,804.603,432.277,100.596,671.305,Bowing
20,361.169,194.362,358.24,299.252,501.506,280.811,214.974,317.693,721.615,331.676,111.604,487.996,614.348,299.141,88.246,696.402,Bowing
21,365.178,198.819,358.653,290.852,504.556,267.24,212.749,314.464,722.033,337.315,126.786,490.283,656.839,314.553,104.963,700.494,Bowing
22,359.087,174.978,362.83,271.174,507.839,254.276,217.822,288.072,679.207,322.601,139.953,458.075,686.978,295.963,129.983,650.233,Bowing
23,363.41,105.616,355.972,222.042,507.501,200.607,204.444,243.477,736.189,295.073,120.961,471.141,608.332,192.402,102.44,677.758,Bowing
24,393.107,83.108,355.454,199.492,517.353,176.435,193.555,222.549,666.316,246.305,126.468,443.681,719.264,299.436,122.262,652.292,Bowing
25,355.117,53.195,368.066,164.514,521.667,143.617,214.465,185.41,702.615,225.169,125.991,388.735,745.729,300.389,125.874,595.202,Bowing
26,356.112,33.087,375.388,153.837,540.422,134.645,210.354,173.03,685.973,278.113,129.778,397.93,712.365,383.094,127.964,565.606,Bowing
27,342.088,37.886,373.37,118.495,533.89,94.853,212.851,142.137,669.646,238.294,128.409,335.845,660.448,392.164,124.991,580.801,Bowing
28,340.335,20.773,369.783,108.272,528.862,82.12,210.704,134.423,709.397,214.438,125.386,352.614,832.819,418.974,176.244,574.364,Bowing
29,345.82,19.046,378.829,108.217,546.126,92.069,211.533,124.365,685.947,251.769,109.65,340.323,773.776,445.871,84.178,648.311,Bowing
30,338.843,32.925,383.227,113.297,547.521,95.024,218.934,131.571,663.861,273.124,123.943,334.284,675.665,464.642,104.743,589.716,Bowing
31,337.646,36.319,360.878,128.922,520.174,112.13,201.582,145.713,657.178,262.082,108.905,341.018,653.856,460.981,87.039,627.191,Bowing
32,343.182,33.916,360.875,123.375,518.076,97.876,203.674,148.873,685.734,195.468,107.14,343.501,726.701,325.379,98.203,611.302,Bowing
33,342.898,38.745,359.043,119.837,510.011,100.77,208.076,138.903,672.937,190.675,105.088,334.401,775.828,338.632,75.67,619.596,Bowing
34,343.403,39.083,359.887,124.446,516.758,105.88,203.017,143.011,649.902,196.5,99.77,357.166,779.978,349.992,90.178,632.662,Bowing
35,346.204,42.563,356.479,128.315,508.218,108.0,204.741,148.63,669.685,220.38,112.827,346.333,731.868,399.983,93.958,625.496,Bowing
37,344.862,35.606,360.176,134.312,517.987,114.839,202.365,153.785,670.215,269.861,104.959,361.042,700.427,480.001,102.631,595.429,Bowing
38,342.365,44.435,358.577,131.855,509.205,112.583,207.95,151.127,643.131,227.029,95.606,358.287,772.402,389.787,89.208,619.475,Bowing
39,357.897,37.918,353.882,137.505,505.08,122.056,202.684,152.954,664.371,241.329,105.323,352.292,769.176,405.183,97.606,620.341,Bowing
40,352.664,43.838,359.047,143.507,523.668,123.781,194.425,163.234,683.545,280.963,88.738,389.202,595.092,449.303,80.214,649.664,Bowing
41,347.809,40.904,365.556,138.758,528.396,129.443,202.717,148.073,664.312,311.726,101.53,351.029,592.943,443.791,86.467,617.134,Bowing
42,348.973,42.754,366.591,147.951,524.848,141.475,208.333,154.428,648.486,323.301,103.509,346.816,601.533,468.966,90.659,585.539,Bowing
43,352.04,57.142,366.729,164.741,523.564,166.201,209.894,163.281,643.146,387.984,92.752,363.243,616.067,582.735,94.352,610.041,Bowing
44,353.27,66.311,368.114,161.582,524.632,160.843,211.597,162.32,641.026,372.543,103.367,341.264,633.726,563.905,93.832,589.009,Bowing
45,367.76,100.821,367.927,168.995,536.012,167.757,199.842,170.232,652.425,368.013,93.996,382.441,638.206,551.032,198.695,512.505,Bowing
46,371.154,112.173,370.206,172.102,534.212,171.745,206.2,172.459,613.833,350.675,70.108,379.068,658.34,561.527,197.144,509.827,Bowing
48,377.21,136.062,369.943,168.462,539.503,169.288,200.382,167.636,633.859,366.939,98.776,384.955,645.958,578.891,239.015,528.197,Bowing
49,399.059,168.264,377.26,165.285,547.928,162.777,206.591,167.792,655.638,369.485,97.202,377.592,641.932,583.852,212.393,542.523,Bowing
50,389.708,167.319,374.89,168.637,538.15,161.465,211.63,175.809,660.829,342.783,91.18,372.292,626.639,549.47,230.439,505.428,Bowing
51,391.294,166.438,374.964,174.795,539.191,176.484,210.738,173.106,631.784,350.815,99.703,370.571,555.678,547.323,263.498,494.776,Bowing
52,403.219,162.001,380.414,168.289,545.391,173.818,215.437,162.76,652.88,369.953,95.748,362.434,642.623,580.88,221.544,537.145,Bowing
53,415.004,166.604,378.622,175.931,541.7,176.478,215.545,175.383,631.769,348.698,100.343,374.151,616.953,523.304,236.537,518.477,Bowing
54,417.637,166.918,379.06,170.693,542.731,172.777,215.389,168.61,672.251,376.933,104.459,382.245,673.01,602.231,263.663,536.111,Bowing
55,413.587,153.062,376.268,170.083,540.477,172.277,212.058,167.888,655.818,368.673,109.254,389.347,668.324,586.897,297.628,515.515,Bowing
57,416.838,149.74,374.545,150.961,538.241,146.009,210.849,155.913,620.596,339.38,132.993,371.931,688.025,554.833,321.093,480.801,Bowing
58,403.928,144.851,373.15,150.311,536.985,143.949,209.314,156.672,624.16,349.21,106.297,383.985,687.896,565.355,311.672,479.583,Bowing
59,411.974,161.878,379.102,176.221,548.388,179.954,209.816,172.487,643.02,379.231,92.562,390.758,634.156,572.973,319.555,470.149,Bowing
60,414.714,160.793,375.417,172.982,545.536,174.353,205.297,171.611,655.696,378.073,89.169,383.466,658.067,598.305,305.212,472.178,Bowing
62,416.023,151.315,368.66,154.902,536.345,144.489,200.976,165.316,614.07,302.728,96.004,380.342,583.755,457.594,278.024,458.383,Bowing
64,428.443,153.645,371.876,160.983,536.642,154.817,207.111,167.148,588.177,314.14,100.995,395.466,471.423,422.321,325.165,461.099,Bowing
65,435.422,151.981,363.85,158.964,524.723,148.948,202.978,168.981,626.117,326.581,94.394,396.85,626.635,522.925,316.821,458.339,Bowing
66,423.18,152.769,366.442,157.669,529.149,151.693,203.734,163.645,577.206,291.967,99.737,383.084,470.015,413.49,299.824,451.373,Bowing
67,429.007,141.144,377.247,157.72,545.036,147.55,209.458,167.889,617.971,333.573,89.515,399.158,559.25,492.457,311.977,451.235,Bowing
72,404.468,135.13,379.055,167.523,543.33,166.871,214.78,168.175,613.169,350.38,119.22,381.43,622.992,519.649,297.072,461.279,Bowing
73,422.584,152.524,368.527,160.352,530.992,152.407,206.062,168.298,597.919,329.683,109.537,378.757,641.266,522.427,274.677,470.406,Bowing
