frame_id,nose_x,nose_y,neck_x,neck_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,label
0,363.775,181.931,366.745,345.205,510.158,341.72,223.332,348.69,620.498,551.782,144.053,555.689,645.651,567.417,113.071,708.512,Looking
1,356.765,186.697,354.841,343.933,495.665,341.06,214.016,346.806,594.187,523.952,123.026,539.743,610.281,553.474,113.484,699.631,Looking
2,354.381,189.742,357.13,338.908,495.489,333.704,218.771,344.112,653.49,501.408,119.801,503.619,586.463,341.443,99.14,673.411,Looking
3,356.022,188.466,357.148,337.459,495.496,330.316,218.8,344.601,602.852,509.845,145.195,542.281,628.194,573.175,123.698,690.625,Looking
4,358.42,186.996,358.831,341.615,500.836,334.535,216.827,348.694,646.409,490.705,139.751,552.021,614.257,366.074,109.808,701.082,Looking
5,359.491,184.0,359.234,337.806,501.982,330.033,216.487,345.579,656.103,499.209,135.237,549.577,614.714,367.079,102.244,696.96,Looking
6,354.493,187.891,358.748,338.27,500.925,334.344,216.572,342.196,608.561,479.104,138.175,542.187,629.724,516.158,115.527,688.992,Looking
7,361.813,184.027,358.555,336.333,501.607,327.525,215.502,345.141,618.344,461.644,132.716,543.765,678.182,569.275,119.13,704.844,Looking
8,362.245,187.945,358.339,333.281,499.47,327.352,217.209,339.21,589.93,475.961,118.293,497.411,640.94,589.871,114.05,697.674,Looking
9,364.899,190.073,358.795,337.265,502.882,330.169,214.708,344.361,602.353,464.34,121.182,503.555,640.42,651.953,114.645,714.322,Looking
10,368.454,187.484,362.139,330.578,499.993,323.398,224.285,337.758,624.214,459.454,128.209,488.255,588.969,318.01,87.029,679.472,Looking
11,367.856,188.218,363.983,331.601,504.254,323.903,223.712,339.298,626.473,456.44,128.325,488.173,607.762,332.576,100.151,676.811,Looking
12,366.785,190.294,365.393,335.606,507.49,328.86,223.297,342.351,640.679,451.238,123.14,491.219,635.188,349.478,92.068,686.381,Looking
13,367.794,186.068,361.894,330.696,498.509,326.924,225.279,334.468,632.232,444.07,95.347,471.061,613.599,330.456,61.086,651.836,Looking
14,367.595,185.981,364.224,330.777,502.579,326.026,225.869,335.528,608.414,452.017,92.84,468.875,600.964,352.227,65.969,629.866,Looking
15,359.135,185.383,357.204,320.467,490.845,321.249,223.562,319.684,603.951,449.869,76.226,446.058,594.47,359.504,63.519,467.368,Looking
16,358.376,187.532,357.153,324.649,496.261,323.933,218.046,325.365,619.084,462.754,55.631,446.184,600.529,353.487,12.417,493.339,Looking
17,357.05,186.758,355.852,328.347,498.676,330.885,213.029,325.81,637.008,508.361,33.036,453.929,581.916,347.459,-60.018,486.644,Looking
18,366.551,188.732,357.403,322.857,495.345,324.85,219.46,320.865,601.227,496.956,35.875,451.512,621.764,576.745,-41.674,494.321,Looking
19,366.092,188.942,357.649,330.187,500.959,333.705,214.339,326.669,584.474,510.613,16.939,435.23,614.564,541.378,-50.125,527.668,Looking
20,361.532,166.509,361.776,309.293,498.818,316.549,224.735,302.037,610.119,492.33,-4.465,398.324,592.457,367.672,-65.281,389.434,Looking
21,372.115,157.37,354.075,292.123,489.182,299.648,218.968,284.597,634.401,483.173,-4.591,389.658,586.604,327.844,-134.806,385.134,Looking
22,350.603,109.093,353.245,255.101,490.354,263.946,216.137,246.256,599.272,440.962,-4.52,351.59,587.333,324.686,-56.618,327.303,Looking
23,358.517,91.476,355.322,248.103,495.858,253.817,214.786,242.389,597.624,441.544,-4.618,326.184,645.59,498.951,-20.49,269.841,Looking
24,349.999,25.018,353.137,173.875,501.633,184.824,204.64,162.927,623.387,381.885,3.599,272.903,641.762,393.01,-28.096,310.475,Looking
25,346.495,10.039,355.411,153.94,510.08,157.984,200.741,149.897,646.474,363.5,-15.358,270.421,583.595,150.552,-15.187,293.141,Looking
